spot,rank,satellite
妈妈农庄,4.2,"
成都市郫县唐昌镇战旗村                        "
乐宝王国（龙湖北城店）,4.4,"
成都市金牛区龙湖北城天街3楼054--062室                        "
谛梵养生会馆,4.8,"
成都市青羊区琴台路107号                        "
卧铁,4.8,"
成都市都江堰市离堆公园内                        "
皇城清真寺,3.9,"
成都市青羊区小河街2号                        "
锦华馆,4.3,"
成都市锦江区春熙路北段40号附1号                        "
薛涛井,3.8,"
成都市武侯区望江楼公园文物保护区内                        "
都江堰水文化广场,4.6,"
成都市都江堰市都江堰大道与太平街交叉                        "
安仁老街,4.7,"
成都市大邑县安仁古镇树人街、红星街及裕民街                        "
明蜀王陵博物馆,4.0,"
成都市龙泉驿区十陵镇大梁村八组 ‎                        "
新繁东湖,4.3,"
成都市新都区新繁镇东湖路（外北街东侧）                        "
沙河公园,4.3,"
成都市金牛区沙河源南路                        "
永康森林公园,3.9,"
成都市武侯区永康大道金花镇永康村                        "
千高原艺术空间,4.5,"
成都市高新区天府一街699号铁像寺水街南区3-5号                        "
冠军溜冰场,4.4,"
成都市高新区剑南大道998号世豪广场4F                        "
许燎源现代设计艺术博物馆,4.3,"
成都市锦江区                        "
四川成都花水湾巴登巴登温泉会所...,4.1,"
成都大邑花水湾南街9号                        "
成都大熊猫生态园旅游博物馆,4.4,"
成都市成华区熊猫大道1375号                        "
棠湖公园,4.6,"
成都市双流县棠湖西路一段2号                        "
金沙庵,4.3,"
成都市青羊区灶君庙街56号                        "
成都御手国医馆（锦里店）,4.7,"
成都市武侯区武侯祠大街123号附22号（近省交通厅）                        "
尊尚柏丽（中华园店）,4.6,"
成都市武侯区桐梓林东路9号中华园D区16号楼一楼
                        "
成都东门城墙遗址,3.8,"
成都市锦江区清莲上街                        "
尊尚柏丽（世纪城店）,4.2,"
成都市武侯区天府大道中段177号天鹅湖花园17栋二楼
                        "
龙兴寺,4.7,"
成都市彭州市龙兴北街                        "
东坡休闲广场,4.4,"
成都市青羊区青羊大道                        "
3D魔幻/魔画世界,4.0,"
成都市锦江区春熙路北段45号高邦大厦3F-5F（乡村基入口或高邦专卖店进入）                        "
星期8小镇,4.6,"
成都市温江区万春镇                        "
虹口漂流,4.5,"
成都市都江堰市虹口乡光荣村九组                        "
碧海云天休闲会馆,4.2,"
成都市金牛区蜀辉路477号（羊犀立交桥内侧）                        "
清溪园,4.9,"
成都市都江堰市离堆公园东南角                        "
博客小镇,4.3,"
成都市龙泉驿区洛带古镇南侧                        "
万亩观光果园,4.3,"
成都市龙泉驿区柏合镇芦溪路                        "
辛亥秋保路死事纪念碑,4.1,"
成都市青羊区人民公园西北角
                        "
青白江博物馆,4.2,"
成都市青白江区凤凰湖二期田园广场旁                        "
乐宝王国（鹏瑞利店）,4.5,"
成都市青羊区光华大道一段光华北三路鹏瑞利青羊广场                        "
巴金文学院,4.4,"
成都市龙泉驿区龙都南路                        "
成都御手国医馆（光华店）,4.8,"
成都市青羊区光华村街85号附301号                        "
何日君温泉水疗（倪家桥店）,4.5,"
成都市武侯区倪家桥2号附8号                        "
成都常乐亚健康调养(金沙店),4.8,"
成都市青羊区金沙遗址88号西贵金沙3楼（建行楼上3楼）                        "
尊尚柏丽（环球店）,4.5,"
成都市武侯区天府大道北段1700号环球购物中心二楼C03
                        "
龙桥黑熊救护中心,4.3,"
成都市新都区龙桥镇薛家船风景名胜区内                        "
乐宝王国（环球中心店）,4.8,"
成都市武侯区高新区天府大道北段1700号（新世纪环球购物中心3楼）                        "
成都观岭国际高尔夫球会,4.5,"
成都市金堂县观岭大道1188号                        "
金鸡谷攀岩,4.3,"
成都邛崃市平乐镇                        "
成都比如世界,4.1,"
成都市锦江区东大路238号成都市妇女儿童中心一层                        "
怡湖公园,4.2,"
成都市青白江区怡湖东路153号                        "
成都理工大学博物馆,4.6,"
成都市成华区二仙桥东三路1号，成都理工大学内                        "
崇州文庙,4.3,"
成都市崇州文庙街169号                        "
成都常乐亚健康调养(航空路店),4.4,"
成都市武侯区航空路7号华尔兹广场3楼（近新希望路）                        "
濯锦楼,3.9,"
成都市武侯区望江楼公园文物保护区内                        "
玛雅密室成都体验馆,4.3,"
成都市青羊区光华村街42号乐宾百货四楼（西南财大后门）                        "
成都博物馆新馆,4.5,"
成都市青羊区小河街1号                        "
花水湾冰火漂流,4.4,"
成都市大邑县花水湾镇                        "
宝狮湖,4.3,"
成都市龙泉驿区长松乡宝狮村                        "
锦江剧场(芙蓉国粹变脸秀),4.6,"
华兴正街54号(近王府井)                        "
双流中心公园,4.7,"
成都市双流县金河路                        "
Key Man密室逃脱,4.7,"
成都市武侯区锦绣路1号保利中心2幢A座18楼13号                        "
成都南郊公园,4.6,"
四川省成都武侯区武侯祠大街235号                        "
五津风景区,4.4,"
成都市新津县                        "
掷笔槽,4.4,"
成都市都江堰市青城山景区内                        "
青白江樱花节,4.1,"
成都市青白江区凤凰湖景区                        "
浣笺亭,3.9,"
成都市武侯区望江楼公园文物保护区内                        "
道源圣城温泉,3.9,"
大邑县鹤鸣山平阳路1号附7号                        "
明堂创意工作区,4.4,"
成都市青羊区奎星楼街55号                        "
文锦江温泉,4.1,"
成都市近郊崇州市万家镇文锦江温泉旅游开发区                        "
蜀乐池温泉休闲中心,4.7,"
成都市温江区凤凰北大街619号                        "
新都泥巴沱,4.2,"
成都市新都区南三公里的毗河南岸                        "
成都御手国医馆（建设路店）,4.6,"
成都市成华区建设北路三段26号成功银玺国际三楼（龙湖三千集）                        "
客家杏花村,4.5,"
成都市青白江区福洪乡杏花村                        "
乐宝王国（世豪广场店）,4.4,"
成都市天府二街999号世豪广场3楼                        "
成都蒲江大溪谷高尔夫球场,4.3,"
成都市蒲江县顺城路88号                        "
成都御手国医馆（紫荆店）,4.8,"
成都市武侯区紫薇东路95号附2号（大蓉和对面）                        "
成都麓山国际高尔夫球场,4.4,"
成都市双流麓山大道二段六号                         "
大中华国际演艺,4.2,"
成都市青羊区人民中路一段15号                        "
成都卧龙谷高尔夫俱乐部,4.6,"
成都市龙泉驿区大面镇飞鹅村卧龙大道1号                        "
成都御手国医馆（广福桥店）,4.9,"
成都市武侯区广福桥正街2号附15号                        "
薛涛纪念馆,3.8,"
成都市武侯区望江楼公园文物保护区内                        "
成都常乐亚健康调养(金牛万达店),4.0,"
成都市金牛区一环路北三段1号（万达广场万达百货5F-05号铺）                        "
龙泉枇杷沟,4.1,"
成都市龙泉驿区                        "
中国艺库,4.0,"
成都市龙泉驿区洛带古镇内，靠近槐树中街                        "
灸正堂健康会馆（浆洗店）,4.4,"
成都市武侯区洗面桥街30号成都高速（交投）大厦B栋12F                        "
